"Token","InstrumentName","ShortName","Series","ExpiryDate","StrikePrice","OptionType","CALevel","PermittedToTrade","IssueCapital","WarningQty","FreezeQty","CreditRating","NormalMarketStatus","OddLotMarketStatus","SpotMarketStatus","AuctionMarketStatus","NormalMarketEligibility","OddLotMarketEligibility","SpotMarketEligibility","AuctionMarketEligibility","IssueRate","IssueStartDate","InterestPaymentDate","IssueMaturityDate","MarginPercentage","MinimumLotQty","LotSize","TickSize","CompanyName","ListingDate","ExpulsionDate","ReAdmissionDate","RecordDate","LowPriceRange","HighPriceRange","SecurityExpiryDate","NoDeliveryStartDate","NoDeliveryEndDate","MF","AON","ParticipantInMarketIndex","BookClsStartDate","BookClsEndDate","ExcerciseStartDate","ExcerciseEndDate","OldToken","AssetInstrument","AssetName","AssetToken","IntrinsicValue","ExtrinsicValue","ExcerciseStyle","EGM","AGM","Interest","Bonus","Rights","Dividends","ExAllowed","ExRejectionAllowed","PlAllowed","IsThisAsset","IsCorpAdjusted","LocalUpdateDatetime","DeleteFlag","Remarks","BasePrice","ExchangeCode"
"6306","OPTCUR","JPYINR","OPTION","27-Dec-2024",65.0000,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",0.0025,0.0075,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",2.4225,"JPYINR"
"6307","OPTCUR","JPYINR","OPTION","27-Dec-2024",65.0000,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",8.7675,10.3725,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",3.6475,"JPYINR"
"6293","OPTCUR","JPYINR","OPTION","27-Dec-2024",64.7500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",0.0025,0.0075,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",2.5175,"JPYINR"
"6297","OPTCUR","JPYINR","OPTION","27-Dec-2024",64.7500,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",8.5275,10.1325,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",3.51,"JPYINR"
"4949","OPTCUR","EURINR","OPTION","27-Dec-2024",98.5000,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",0.005,0.015,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",2.175,"EURINR"
"4963","OPTCUR","EURINR","OPTION","27-Dec-2024",98.5000,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",6.505,7.935,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",4.76,"EURINR"
"4948","OPTCUR","EURINR","OPTION","27-Dec-2024",98.2500,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",6.265,7.695,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",4.605,"EURINR"
"11762","OPTCUR","JPYINR","OPTION","27-Dec-2024",59.2500,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",3.18,4.6,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",3.89,"JPYINR"
"4946","OPTCUR","EURINR","OPTION","27-Dec-2024",98.2500,"CE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"EURO","","","","",0.0025,0.0175,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",2.2625,"EURINR"
"11728","OPTCUR","JPYINR","OPTION","27-Dec-2024",55.5000,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",0.8175,1.6375,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",1.2275,"JPYINR"
"11742","OPTCUR","JPYINR","OPTION","27-Dec-2024",56.7500,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",1.4175,2.4875,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",1.9525,"JPYINR"
"11744","OPTCUR","JPYINR","OPTION","27-Dec-2024",57.0000,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",1.5625,2.6775,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",2.12,"JPYINR"
"11748","OPTCUR","JPYINR","OPTION","27-Dec-2024",57.5000,"PE",0,0,0,,0,"",0,0,0,0,"","","","",0,"","","",0,1,1000,0.0025,"JAPANESE YEN","","","","",1.8775,3.0725,"","","","","","","","","","",0,"","",0,0,0,"","","","","","","","","","","","","","","",2.475,"JPYINR"
