"Token","InstrumentName","ShortName","Series","ExpiryDate","StrikePrice","OptionType","CALevel","PermittedToTrade","IssueCapital","WarningQty","FreezeQty","CreditRating","NormalMarketStatus","OddLotMarketStatus","SpotMarketStatus","AuctionMarketStatus","NormalMarketEligibility","OddLotMarketEligibility","SpotMarketEligibility","AuctionMarketEligibility","IssueRate","IssueStartDate","InterestPaymentDate","IssueMaturityDate","MarginPercentage","MinimumLotQty","LotSize","TickSize","CompanyName","ListingDate","ExpulsionDate","ReAdmissionDate","RecordDate","LowPriceRange","HighPriceRange","SecurityExpiryDate","NoDeliveryStartDate","NoDeliveryEndDate","MF","AON","ParticipantInMarketIndex","BookClsStartDate","BookClsEndDate","ExcerciseStartDate","ExcerciseEndDate","OldToken","AssetInstrument","AssetName","AssetToken","IntrinsicValue","ExtrinsicValue","ExcerciseStyle","EGM","AGM","Interest","Bonus","Rights","Dividends","ExAllowed","ExRejectionAllowed","PlAllowed","IsThisAsset","IsCorpAdjusted","LocalUpdateDatetime","DeleteFlag","Remarks","BasePrice","ExchangeCode"
"1124586","FUTIND","BANKEX","FUTURE","25-Nov-2024","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,15,5,"BANKEX","","","","",52818.7,64556.2,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",5888750,"BANKEX"
"1126233","FUTIND","BSESEN","FUTURE","29-Nov-2024","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",790,0,10,5,"BSE SENSEX","","","","",72499.15,88610.1,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",8111045,"SENSEX"
"1135999","FUTIND","BSESEN","FUTURE","31-Oct-2024","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",4350,0,10,5,"BSE SENSEX","","","","",72058.15,88071.1,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",8040410,"SENSEX"
"1137303","FUTIND","BANKEX","FUTURE","04-Nov-2024","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",165,0,15,5,"BANKEX","","","","",52666.3,64369.95,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",5971815,"BANKEX"
"1140488","FUTIND","BSESEN","FUTURE","08-Nov-2024","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",230,0,10,5,"BSE SENSEX","","","","",72269.3,88329.15,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",8051775,"SENSEX"
"1141518","FUTIND","BANKEX","FUTURE","11-Nov-2024","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,15,5,"BANKEX","","","","",52682.15,64389.3,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",6134941,"BANKEX"
"1164436","FUTIND","BSESEN","FUTURE","13-Dec-2024","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,10,5,"BSE SENSEX","","","","",72619.65,88757.4,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",7940229,"SENSEX"
"1146913","FUTIND","BSESEN","FUTURE","27-Dec-2024","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,10,5,"BSE SENSEX","","","","",72807.9,88987.45,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",8557185,"SENSEX"
"1147222","FUTIND","BANKEX","FUTURE","18-Nov-2024","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,15,5,"BANKEX","","","","",52750.4,64472.75,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",6003809,"BANKEX"
"1147439","FUTIND","BANKEX","FUTURE","30-Dec-2024","0","XX",0,0,0,0,0,"",0,0,0,0,"","","","",0,"","","",0,0,15,5,"BANKEX","","","","",53161.7,64975.45,"","","","0-XXX","","","","","","",0,"","",0,0,0,"","","","","","","","BFO","","","","","","","",6013815,"BANKEX"
